respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
95002,Argana,ChIJZQ89xEfz5kcRUzF6G5LOTgo,Restaurant Marocain,"1 Pl. Claire Girard, Courdimanche",1
95002,French Chicken House - Fch Cergy - Fast-Food Chicken Halal,ChIJI6REr5D05kcR0yJUI9VRLng,"Restaurant De Restauration Rapide, Restaurant Américain, Restaurant De Poulet, Poulet Frit À Emporter, Restaurant Halal, Restaurant De Hamburgers","Saint Christophe, Cergy",1
95002,Pb Poulet Braisé Cergy,ChIJoS2ATHX15kcR_QK489H6cSw,"Restaurant, Restaurant Halal","35 Rue De L'abondance, Cergy",1
95002,Royal Food,ChIJtbCM85b15kcRbqUmwS9__CM,Kebab,"2 Pl. Du Marché, Cergy",1
95002,M.g.istanbul,ChIJ4eoVl1fz5kcRV6VmBgOTvK0,"Restaurant Turc, Restaurant De Restauration Rapide, Restaurant De Tacos","4 Av. Louis Lecoin, Vauréal",1
95002,La Sucrerie,ChIJw-r22iXy5kcR-O5biZdW4WM,"Restaurant Français, Bar","15 Rue Jean Jaurès, Us",0
95002,Au Vieux Moulin D'us,ChIJX-WxsInx5kcReniwWrNh1ws,"Traiteur, Bar, Restaurant Français, Restaurant","74 Rue De Dampont, Us",0
95002,Les Petites Auges,ChIJY-KsiJTy5kcRZc0LlyAqg1A,"Restaurant, Bar, Restaurant Français","6 Grande Place, Sagy",0
95002,Aux Randonneurs,ChIJMRSQ2X3t5kcRK5yUhCr6s7Y,"Restaurant, Restaurant Français","37 Gr Grande Rue, Longuesse",0
95002,Stella Artois Brasserie,ChIJxQYL2X3t5kcRrCEpOEsxun4,Brasserie,"37 Gr Grande Rue, Longuesse",0
95002,Yokohama,ChIJw_a-am_z5kcRM-PfhwOdqyM,"Restaurant Japonais, Restaurant Asiatique, Restaurant, Restaurant De Sushis","10 Bd D'erkrath, Cergy",2
95002,Le Man Yuan,ChIJeS_rZHzz5kcR0e4Qoy2CWbA,"Restaurant Asiatique, Restaurant Chinois","N14, Puiseux-Pontoise",2
95002,Le Mandarin,ChIJkVj81GLz5kcR94qphxrS7sM,"Restaurant De Fondue Chinoise, Restaurant Chinois, Restaurant De Sushis, Restaurant Thaïlandais","N14, Cergy",2
95002,Sushi Yakitori -,ChIJFeCj2an05kcRdzaCC_dAEwQ,"Restaurant Japonais, Dîner, Restaurant À Emporter, Service D'expédition","10 Pl. Du Cœur Battant, Vauréal",2
95002,Pop Sushi Vaureal,ChIJhwAUQWrz5kcRX1aEwQPXkGQ,"Restaurant De Sushis, Restaurant Asiatique","100 Bd De L'oise, Vauréal",2
95008,Speed'za,ChIJnU-Xj_zA5kcRLTS05_vQwGs,"Livraison De Pizzas, Restaurant De Hamburgers, Restaurant De Livraison, Pizza À Emporter, Restaurant De Tacos","5 Gr Grande Rue, Vétheuil",1
95008,Anans,ChIJw1mFPQC_5kcRO5el_ee3EVw,Restaurant Marocain,"3 All. Des Bleuets, Limay",1
95008,Centre Commercial Carrefour Limay,ChIJ76h803iV5kcRRPUOn7QAqhs,"Restaurant, Banque, Magasin De Vêtements, Station-Service, Magasin De Verre, Salon De Coiffure, Blanchisserie, Pharmacie, Centre Commercial, Restaurant De Tacos","190 Route Nationale, Limay",1
95008,O'tiz Bella,ChIJr718Xm2_5kcRKUL2iQze4yk,"Restaurant De Pizzas, Restaurant De Hamburgers, Kebab, Brasserie, Sandwicherie, Restaurant De Tacos","71 Bis Rue Adrien Roelandt, Limay",1
95008,Le Chalet Du Vexin,ChIJy2kZR0no5kcRvALIXZ55cf0,"Kebab, Restaurant De Restauration Rapide, Restaurant À Emporter, Sandwicherie","15 Rue De Paris, Magny-en-Vexin",1
95008,Le Tradi Du Vexin,ChIJ_b8B_JDq5kcRJIxtQ3TLnZQ,"Restaurant, Restaurant Français","2 Grande Rue, Drocourt",0
95008,Le Bistrot Du Vexin,ChIJb4fh-5Dq5kcRPYiU-4kJEUs,"Bar À Tabac, Bistro","15 Rue Nationale, Drocourt",0
95008,Route Des Crepes,ChIJN7sURPvA5kcR2MTkLD0yD4Q,"Crêperie, Restaurant","Rue Soignée, Vétheuil",0
95008,Hostellerie Belle Isle,ChIJAdJ1CeLA5kcRgIdnudblqdM,Restaurant Français,"29 Av. Claude Monet, Vétheuil",0
95008,Restaurant Chez Charlot,ChIJj3Yab-TA5kcRZ82Ec5GEsv8,"Restaurant Français, Restaurant","9 Prom. Claude Monet, Moisson",0
95008,L'atelier Du Sushi Magny-En-Vexin,ChIJZWO13t7p5kcR7Lnqo6HsL_c,"Restaurant, Restaurant Japonais, Restaurant Du Déjeuner, Restaurant De Fruits De Mer, Restaurant De Sushis, Restaurant Végétarien","36 Rue De Paris, Magny-en-Vexin",2
