respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
2A001,Pitaya Thaï Street Food,ChIJ12WToEIT2hIRA-PsFTg4oIg,"Restaurant De Restauration Rapide, Restaurant Asiatique, Restaurant Halal, Restaurant Panasiatique, Restaurant, Restaurant D'asie Du Sud-Est, Restaurant Thaïlandais, Restaurant De Wok","Centre Commercial Atrium Près D'ajaccio, Sarrola-Carcopino",1
2A001,L' Ailleurs Café Restaurant,ChIJAVzg2-1p2hIRLNd_oKIyQFg,"Restaurant Indien Moderne, Restaurant Libanais, Restaurant Thaïlandais","3 Rue Général Fiorella, Ajaccio",1
2A001,Café De France,ChIJ8RDvsgat0BIR1W_Ch1uISM8,"Restaurant, Bar, Restaurant Libanais","28 Cr Paoli, Corte",1
2A001,Les Calanques,ChIJaTifUGlr2hIRJKi0GLJQHns,"Brasserie, Restaurant Français","T22, Afa",0
2A001,Auberge Midi-Minuit,ChIJs60frQxr2hIRoPaDUeJBDFs,"Restaurant, Restaurant Français","Zi Baléone Mezzavia, Sarrola-Carcopino",0
2A001,Crêpe Touch Grand Ajaccio Baléone,ChIJgWoipatr2hIR0GGhaFHFWGo,"Restaurant, Bar À Cocktails, Café, Crêperie, Restaurant De Desserts, Glacier, Magasin De Jus, Livraison De Repas, Restaurant À Emporter, Magasin De Salades","Centre Commercial Grand Baléone, Zi, Sarrola-Carcopino",0
2A001,Burger King,ChIJ0QrdqBJr2hIRjAS7qkiMqLs,"Restaurant De Restauration Rapide, Restaurant Américain, Bar Et Grill, Restaurant Familial, Restaurant De Hamburgers, Restaurant À Emporter","Zi De Baleone, Sarrola-Carcopino",0
2A001,Brasserie Le 1928,ChIJ2z1xmQtr2hIRg65B6hPT4sA,"Restaurant, Brasserie","Rond Point, Sarrola-Carcopino",0
2A001,Sushi Shop Ajaccio Baléone,ChIJ8UyyZD1r2hIR-0I9I2_w7uI,"Restaurant De Sushis, Restaurant Asiatique, Restaurant De Restauration Rapide, Restaurant Japonais, Livraison De Repas, Restaurant À Emporter, Restaurant Panasiatique, Sushis À Emporter","Sushi Shop Centre Commercial E.leclerc Baléone, Sarrola-Carcopino",2
2A001,Sushi Shop,ChIJQT-qBClr2hIRR-LqTMAUxQE,"Restaurant De Sushis, Restaurant Asiatique, Restaurant De Restauration Rapide, Restaurant Japonais, Restaurant À Emporter, Restaurant Panasiatique, Sushis À Emporter","Corner E. Leclerc Grand Ajaccio, Sarrola-Carcopino",2
2A001,Royal Gourmand,ChIJw_agG2pr2hIRPrVR05i2aBY,Restaurant Asiatique,"Les Hameaux De Pernicaggio, Sarrola-Carcopino",2
2A001,Meho Restaurant Traiteur Thaï,ChIJ6-A1I9Zr2hIRPd8W7rrb55Y,"Restaurant Thaïlandais, Traiteur","20167 Sarrola-Carcopino, Sarrola-Carcopino",2
2A001,Aum Made,ChIJXfL1aAcT2hIRUKYwFkDP2NQ,Restaurant Indien,"20167 Sarrola-Carcopino, Sarrola-Carcopino",2
2A004,L' Ailleurs Café Restaurant,ChIJAVzg2-1p2hIRLNd_oKIyQFg,"Restaurant Indien Moderne, Restaurant Libanais, Restaurant Thaïlandais","3 Rue Général Fiorella, Ajaccio",1
2A004,Pitaya Thaï Street Food,ChIJ12WToEIT2hIRA-PsFTg4oIg,"Restaurant De Restauration Rapide, Restaurant Asiatique, Restaurant Halal, Restaurant Panasiatique, Restaurant, Restaurant D'asie Du Sud-Est, Restaurant Thaïlandais, Restaurant De Wok","Centre Commercial Atrium Près D'ajaccio, Sarrola-Carcopino",1
2A004,A Terrazza,ChIJo0XDGNxp2hIRHgKhByngtR0,"Restaurant Haut De Gamme Français, Restaurant Méditerranéen, Restaurant","Hôtel Les Mouettes, Ajaccio",0
2A004,Brasserie L'instant,ChIJ-Qc8AvJp2hIRsyGy81Ak_ds,"Brasserie, Restaurant Américain, Restaurant De Hamburgers, Magasin De Salades, Salon De Thé","1 Rue Emmanuel Arène, Ajaccio",0
2A004,La Terrasse Du Port Restaurant,ChIJuafmVvFp2hIRTPwYys0gj8g,"Restaurant, Restaurant De Poissons, Restaurant Français","Port Tino Rossi, Ajaccio",0
2A004,Azuru,ChIJN4G0KPJp2hIRqp7-dEFGbEo,Restaurant Français,"5 Rue Des Anciens Fossés, Ajaccio",0
2A004,A Vista,ChIJow52_0Vp2hIRDP7JO4vGvEs,Restaurant De Fruits De Mer,"2 Rue Pozzo Di Borgo, Ajaccio",0
2A004,Esprit Sushi Ajaccio,ChIJn23OlY1p2hIRb_bJHdSYwqY,"Restaurant De Sushis, Brasserie, Restaurant Japonais, Poké Bar, Bar À Vin","69 Cr Napoléon, Ajaccio",2
2A004,Sakura Ajaccio,ChIJaQOxK8Rp2hIROvFiqdGNTVQ,"Restaurant Japonais, Restaurant Gyudon, Restaurant De Sushis, Restaurant Thaïlandais, Restaurant Yakisoba","12 Rue Forcioli Conti, Ajaccio",2
2A004,No Stress Thaï,ChIJv30qChNp2hIRDZsYqM64LD8,Restaurant Thaïlandais,"Diamant1, Ajaccio",2
2A004,Le Petit Viet Nam Ajaccio,ChIJFRWQ9exp2hIRU3lkQrX3e-U,Restaurant Vietnamien,"04 Rue Jean Baptiste Marcaggi, Ajaccio",2
2A004,Royal Gourmand,ChIJw_agG2pr2hIRPrVR05i2aBY,Restaurant Asiatique,"Les Hameaux De Pernicaggio, Sarrola-Carcopino",2
2A006,Pitaya Thaï Street Food,ChIJ12WToEIT2hIRA-PsFTg4oIg,"Restaurant De Restauration Rapide, Restaurant Asiatique, Restaurant Halal, Restaurant Panasiatique, Restaurant, Restaurant D'asie Du Sud-Est, Restaurant Thaïlandais, Restaurant De Wok","Centre Commercial Atrium Près D'ajaccio, Sarrola-Carcopino",1
2A006,L' Ailleurs Café Restaurant,ChIJAVzg2-1p2hIRLNd_oKIyQFg,"Restaurant Indien Moderne, Restaurant Libanais, Restaurant Thaïlandais","3 Rue Général Fiorella, Ajaccio",1
